#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 rnd-secrets.bin|  3.65e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.13567188|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.20097300|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.10558816|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.94284504|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.00000001|  FAILED  
      rgb_lagged_sum|  25|   1000000|     100|0.15342204|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.84180954|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.55332491|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.94147358|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.01845017|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.63559702|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00705942|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.56653350|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.44099599|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.45318061|  PASSED  
             dab_dct| 256|     50000|       1|0.72885778|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.16163845|  PASSED  
        dab_filltree|  32|  15000000|       1|0.09545784|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.03299928|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.89628303|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.09469853|  PASSED  
