#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 rnd-openssl.bin|  2.24e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.18726478|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.84520168|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.67723031|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.05118589|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  25|   1000000|     100|0.42659835|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.10796234|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.32542166|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.78351653|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.00368394|   WEAK   
      rgb_lagged_sum|  30|   1000000|     100|0.89889543|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.03861808|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.63517521|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.03481515|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.31762169|  PASSED  
             dab_dct| 256|     50000|       1|0.62652806|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.89912461|  PASSED  
        dab_filltree|  32|  15000000|       1|0.68787632|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.77986516|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.09686730|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.96387430|  PASSED  
