#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  rnd-random.bin|  4.05e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.99982483|   WEAK   
      rgb_lagged_sum|  21|   1000000|     100|0.39382406|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.63481362|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.00343848|   WEAK   
      rgb_lagged_sum|  24|   1000000|     100|0.00000455|   WEAK   
      rgb_lagged_sum|  25|   1000000|     100|0.66203052|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.63088883|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.09321574|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.77917736|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.08639886|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.82605737|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.22452602|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.30039874|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.42218472|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.16224354|  PASSED  
             dab_dct| 256|     50000|       1|0.93348454|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.42443720|  PASSED  
        dab_filltree|  32|  15000000|       1|0.97763529|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.78258378|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.38507437|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.13586782|  PASSED  
